"_id","id","nombre","marca","origen","porcentajeCacao","tipo","relleno"
"""67f753b2dbb6032850da8c1c""","8","Chocolate Especial 8","Montaña Negra","Venezuela","38","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c1d""","6","Chocolate Especial 6","ChocoAmor","Perú","36","oscuro","avellanas"
"""67f753b2dbb6032850da8c1e""","5","Chocolate Especial 5","Exótico","Brasil","35","blanco","licor"
"""67f753b2dbb6032850da8c1f""","4","Chocolate Especial 4","SweetCacao","Bélgica","34","con leche","fresa"
"""67f753b2dbb6032850da8c20""","9","Chocolate Especial 9","Cacao Supremo","Ecuador","39","oscuro","ninguno"
"""67f753b2dbb6032850da8c21""","10","Chocolate Especial 10","Delicias de Cacao","México","40","con leche","almendras"
"""67f753b2dbb6032850da8c22""","13","Chocolate Especial 13","SweetCacao","Bélgica","43","con leche","fresa"
"""67f753b2dbb6032850da8c23""","12","Chocolate Especial 12","Cítricos y Cacao","España","42","oscuro","caramelo"
"""67f753b2dbb6032850da8c24""","14","Chocolate Especial 14","Exótico","Brasil","44","blanco","licor"
"""67f753b2dbb6032850da8c25""","11","Chocolate Especial 11","DulceVida","Suiza","41","blanco","naranja"
"""67f753b2dbb6032850da8c26""","15","Chocolate Especial 15","ChocoAmor","Perú","45","oscuro","avellanas"
"""67f753b2dbb6032850da8c27""","17","Chocolate Especial 17","Montaña Negra","Venezuela","47","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c28""","16","Chocolate Especial 16","Cacao Real","Colombia","46","con leche","menta"
"""67f753b2dbb6032850da8c29""","21","Chocolate Especial 21","Cítricos y Cacao","España","51","oscuro","caramelo"
"""67f753b2dbb6032850da8c2a""","20","Chocolate Especial 20","DulceVida","Suiza","50","blanco","naranja"
"""67f753b2dbb6032850da8c2b""","22","Chocolate Especial 22","SweetCacao","Bélgica","52","con leche","fresa"
"""67f753b2dbb6032850da8c2c""","7","Chocolate Especial 7","Cacao Real","Colombia","37","con leche","menta"
"""67f753b2dbb6032850da8c2d""","1","Chocolate Especial 1","Delicias de Cacao","México","31","con leche","almendras"
"""67f753b2dbb6032850da8c2e""","23","Chocolate Especial 23","Exótico","Brasil","53","blanco","licor"
"""67f753b2dbb6032850da8c2f""","24","Chocolate Especial 24","ChocoAmor","Perú","54","oscuro","avellanas"
"""67f753b2dbb6032850da8c30""","25","Chocolate Especial 25","Cacao Real","Colombia","55","con leche","menta"
"""67f753b2dbb6032850da8c31""","3","Chocolate Especial 3","Cítricos y Cacao","España","33","oscuro","caramelo"
"""67f753b2dbb6032850da8c32""","18","Chocolate Especial 18","Cacao Supremo","Ecuador","48","oscuro","ninguno"
"""67f753b2dbb6032850da8c33""","19","Chocolate Especial 19","Delicias de Cacao","México","49","con leche","almendras"
"""67f753b2dbb6032850da8c34""","2","Chocolate Especial 2","DulceVida","Suiza","32","blanco","naranja"
"""67f753b2dbb6032850da8c35""","26","Chocolate Especial 26","Montaña Negra","Venezuela","56","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c36""","27","Chocolate Especial 27","Cacao Supremo","Ecuador","57","oscuro","ninguno"
"""67f753b2dbb6032850da8c37""","28","Chocolate Especial 28","Delicias de Cacao","México","58","con leche","almendras"
"""67f753b2dbb6032850da8c38""","29","Chocolate Especial 29","DulceVida","Suiza","59","blanco","naranja"
"""67f753b2dbb6032850da8c39""","31","Chocolate Especial 31","SweetCacao","Bélgica","61","con leche","fresa"
"""67f753b2dbb6032850da8c3a""","32","Chocolate Especial 32","Exótico","Brasil","62","blanco","licor"
"""67f753b2dbb6032850da8c3b""","34","Chocolate Especial 34","Cacao Real","Colombia","64","con leche","menta"
"""67f753b2dbb6032850da8c3c""","33","Chocolate Especial 33","ChocoAmor","Perú","63","oscuro","avellanas"
"""67f753b2dbb6032850da8c3d""","30","Chocolate Especial 30","Cítricos y Cacao","España","60","oscuro","caramelo"
"""67f753b2dbb6032850da8c3e""","35","Chocolate Especial 35","Montaña Negra","Venezuela","65","blanco","pimienta rosa"
"""67f753b2dbb6032850da8c3f""","39","Chocolate Especial 39","Cítricos y Cacao","España","69","oscuro","caramelo"
