id,nombre,marca,origen,porcentajeCacao,tipo,relleno
1,Chocolate Especial 1,Delicias de Cacao,México,31,con leche,almendras
2,Chocolate Especial 2,DulceVida,Suiza,32,blanco,naranja
3,Chocolate Especial 3,Cítricos y Cacao,España,33,oscuro,caramelo
4,Chocolate Especial 4,SweetCacao,Bélgica,34,con leche,fresa
5,Chocolate Especial 5,Exótico,Brasil,35,blanco,licor
6,Chocolate Especial 6,ChocoAmor,Perú,36,oscuro,avellanas
7,Chocolate Especial 7,Cacao Real,Colombia,37,con leche,menta
8,Chocolate Especial 8,Montaña Negra,Venezuela,38,blanco,pimienta rosa
9,Chocolate Especial 9,Cacao Supremo,Ecuador,39,oscuro,ninguno
10,Chocolate Especial 10,Delicias de Cacao,México,40,con leche,almendras
11,Chocolate Especial 11,DulceVida,Suiza,41,blanco,naranja
12,Chocolate Especial 12,Cítricos y Cacao,España,42,oscuro,caramelo
13,Chocolate Especial 13,SweetCacao,Bélgica,43,con leche,fresa
14,Chocolate Especial 14,Exótico,Brasil,44,blanco,licor
15,Chocolate Especial 15,ChocoAmor,Perú,45,oscuro,avellanas
16,Chocolate Especial 16,Cacao Real,Colombia,46,con leche,menta
17,Chocolate Especial 17,Montaña Negra,Venezuela,47,blanco,pimienta rosa
18,Chocolate Especial 18,Cacao Supremo,Ecuador,48,oscuro,ninguno
19,Chocolate Especial 19,Delicias de Cacao,México,49,con leche,almendras
20,Chocolate Especial 20,DulceVida,Suiza,50,blanco,naranja
21,Chocolate Especial 21,Cítricos y Cacao,España,51,oscuro,caramelo
22,Chocolate Especial 22,SweetCacao,Bélgica,52,con leche,fresa
23,Chocolate Especial 23,Exótico,Brasil,53,blanco,licor
24,Chocolate Especial 24,ChocoAmor,Perú,54,oscuro,avellanas
25,Chocolate Especial 25,Cacao Real,Colombia,55,con leche,menta
26,Chocolate Especial 26,Montaña Negra,Venezuela,56,blanco,pimienta rosa
27,Chocolate Especial 27,Cacao Supremo,Ecuador,57,oscuro,ninguno
28,Chocolate Especial 28,Delicias de Cacao,México,58,con leche,almendras
29,Chocolate Especial 29,DulceVida,Suiza,59,blanco,naranja
30,Chocolate Especial 30,Cítricos y Cacao,España,60,oscuro,caramelo
31,Chocolate Especial 31,SweetCacao,Bélgica,61,con leche,fresa
32,Chocolate Especial 32,Exótico,Brasil,62,blanco,licor
33,Chocolate Especial 33,ChocoAmor,Perú,63,oscuro,avellanas
34,Chocolate Especial 34,Cacao Real,Colombia,64,con leche,menta
35,Chocolate Especial 35,Montaña Negra,Venezuela,65,blanco,pimienta rosa
36,Chocolate Especial 36,Cacao Supremo,Ecuador,66,oscuro,ninguno
37,Chocolate Especial 37,Delicias de Cacao,México,67,con leche,almendras
38,Chocolate Especial 38,DulceVida,Suiza,68,blanco,naranja
39,Chocolate Especial 39,Cítricos y Cacao,España,69,oscuro,caramelo
40,Chocolate Especial 40,SweetCacao,Bélgica,70,con leche,fresa
41,Chocolate Especial 41,Exótico,Brasil,71,blanco,licor
42,Chocolate Especial 42,ChocoAmor,Perú,72,oscuro,avellanas
43,Chocolate Especial 43,Cacao Real,Colombia,73,con leche,menta
44,Chocolate Especial 44,Montaña Negra,Venezuela,74,blanco,pimienta rosa
45,Chocolate Especial 45,Cacao Supremo,Ecuador,75,oscuro,ninguno
46,Chocolate Especial 46,Delicias de Cacao,México,76,con leche,almendras
47,Chocolate Especial 47,DulceVida,Suiza,77,blanco,naranja
48,Chocolate Especial 48,Cítricos y Cacao,España,78,oscuro,caramelo
49,Chocolate Especial 49,SweetCacao,Bélgica,79,con leche,fresa
50,Chocolate Especial 50,Exótico,Brasil,80,blanco,licor
51,Chocolate Especial 51,ChocoAmor,Perú,81,oscuro,avellanas
52,Chocolate Especial 52,Cacao Real,Colombia,82,con leche,menta
53,Chocolate Especial 53,Montaña Negra,Venezuela,83,blanco,pimienta rosa
54,Chocolate Especial 54,Cacao Supremo,Ecuador,84,oscuro,ninguno
55,Chocolate Especial 55,Delicias de Cacao,México,85,con leche,almendras
56,Chocolate Especial 56,DulceVida,Suiza,86,blanco,naranja
57,Chocolate Especial 57,Cítricos y Cacao,España,87,oscuro,caramelo
58,Chocolate Especial 58,SweetCacao,Bélgica,88,con leche,fresa
59,Chocolate Especial 59,Exótico,Brasil,89,blanco,licor
60,Chocolate Especial 60,ChocoAmor,Perú,90,oscuro,avellanas
61,Chocolate Especial 61,Cacao Real,Colombia,91,con leche,menta
62,Chocolate Especial 62,Montaña Negra,Venezuela,92,blanco,pimienta rosa
63,Chocolate Especial 63,Cacao Supremo,Ecuador,93,oscuro,ninguno
64,Chocolate Especial 64,Delicias de Cacao,México,94,con leche,almendras
65,Chocolate Especial 65,DulceVida,Suiza,95,blanco,naranja
66,Chocolate Especial 66,Cítricos y Cacao,España,96,oscuro,caramelo
67,Chocolate Especial 67,SweetCacao,Bélgica,97,con leche,fresa
68,Chocolate Especial 68,Exótico,Brasil,98,blanco,licor
69,Chocolate Especial 69,ChocoAmor,Perú,99,oscuro,avellanas
70,Chocolate Especial 70,Cacao Real,Colombia,100,con leche,menta
71,Chocolate Especial 71,Montaña Negra,Venezuela,30,blanco,pimienta rosa
72,Chocolate Especial 72,Cacao Supremo,Ecuador,31,oscuro,ninguno
73,Chocolate Especial 73,Delicias de Cacao,México,32,con leche,almendras
74,Chocolate Especial 74,DulceVida,Suiza,33,blanco,naranja
75,Chocolate Especial 75,Cítricos y Cacao,España,34,oscuro,caramelo
76,Chocolate Especial 76,SweetCacao,Bélgica,35,con leche,fresa
77,Chocolate Especial 77,Exótico,Brasil,36,blanco,licor
78,Chocolate Especial 78,ChocoAmor,Perú,37,oscuro,avellanas
79,Chocolate Especial 79,Cacao Real,Colombia,38,con leche,menta
80,Chocolate Especial 80,Montaña Negra,Venezuela,39,blanco,pimienta rosa
81,Chocolate Especial 81,Cacao Supremo,Ecuador,40,oscuro,ninguno
82,Chocolate Especial 82,Delicias de Cacao,México,41,con leche,almendras
83,Chocolate Especial 83,DulceVida,Suiza,42,blanco,naranja
84,Chocolate Especial 84,Cítricos y Cacao,España,43,oscuro,caramelo
85,Chocolate Especial 85,SweetCacao,Bélgica,44,con leche,fresa
